reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_url_hyper,kino_info,kino_map,video_url,image,video_id
45,2014-12-09,Kommunales Kino,48,41,kommunales-kino-leverkusen,Am Büchelter Hof 9,51373,Leverkusen,6.987261,51.035097,0214 406 4184,https://http://kommunales-kino-leverkusen.de,http://www.kommunales-kino-leverkusen.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/Kommunales+Kino+im+Forum/@51.0350967,6.9872607,17z/data=!4m8!1m2!2m1!1skommunales+kino+in+der+vhs+leverkusen!3m4!1s0x47bf2e94940a33df:0x51efb05064b9457f!8m2!3d51.0350254!4d6.9898498",https://vimeo.com/232458754,,173363476
46,2014-12-10,Kino im BÜZ,35,47,kino-im-buez-minden,Seidenbeutel 1 ,32423,Minden,8.918301,52.291124,0571 23939 ,http://www.buezminden.de/,http://www.buezminden.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kulturzentrum+B%C3%9CZ/@52.291124,8.9183013,17z/data=!3m1!4b1!4m5!3m4!1s0x47ba76a7d8b63b05:0xea4862d8e5aafcc0!8m2!3d52.291124!4d8.92049?hl=en-GB",,,140768825
47,2014-12-13,Metropolis,60,22,metropolis-hamburg,Kleine Theaterstraße 10,20354,Hamburg,9.986288,53.556337,040 342353,http://www.metropoliskino.de/,http://www.metropoliskino.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Metropolis/@53.5563367,9.9862883,17z/data=!3m1!4b1!4m5!3m4!1s0x4163a34b390bedab:0xb4a6f8501dcd1963!8m2!3d53.5563367!4d9.988477?hl=en-GB",,,140730510
48,2014-12-14,Lichtblick,54,56,lichtblick-oldenburg,Schuhstraße 97,23758,Oldenburg i. Holst.,10.879139,54.287027,04361 5077 48,http://www.lichtblick-filmtheater.de,http://www.lichtblick-filmtheater.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kino+Lichtblick+Filmtheater/@54.2870274,10.8791394,17z/data=!4m13!1m7!3m6!1s0x47b27e25b7d53d6b:0x8e892aa05541f2ed!2sSchuhstra%C3%9Fe+97,+23758+Oldenburg+in+Holstein,+Germany!3b1!8m2!3d54.2870274!4d10.8813281!3m4!1s0x0:0x5afb625f46746a3!8m2!3d54.2873665!4d10.8811748?hl=en-GB",,,136435473
49,2014-12-16,Kino in der Pumpe,42,37,kino-in-der-pumpe-kiel,Haßstr. 22,24103,Kiel,10.135879,54.324577,0431 2007650,http://www.diepumpe.de/veranstaltungen/kategorie/kino/,http://www.diepumpe.de/veranstaltungen/kategorie/kino/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Ha%C3%9Fstra%C3%9Fe+22,+24103+Kiel,+Germany/@54.3245773,10.135879,17z/data=!3m1!4b1!4m5!3m4!1s0x47b2565d142b2eff:0x72e97ff989a28fc9!8m2!3d54.3245773!4d10.1380677?hl=en-GB",,,134409421
50,2014-12-20,Hochseekino,27,30,hochseekino-helgoland,Nordseehalle,27498,Helgoland,7.885023,54.185197,04725 811050,http://hochseekino.de/kino/home/city220,http://hochseekino.de/kino/home/city220,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Nordseehalle+Helgoland/@54.1851968,7.8850226,17z/data=!3m1!4b1!4m5!3m4!1s0x47b5b5fa92f0d287:0x4ff8485923251d0e!8m2!3d54.1851968!4d7.8872113?hl=en-GB",,,133146010
51,2015-01-01,Koki,44,42,koki-luebeck,Mengstr. 35,23552,Lübeck,10.678862,53.868673,04511 221287,http://www.kinokoki.de,http://www.kinokoki.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Kommunales+Kino+L%C3%BCbeck/@53.868673,10.6788623,17z/data=!3m1!4b1!4m5!3m4!1s0x47b2095650cacdd9:0x531089ff86a1a117!8m2!3d53.868673!4d10.681051?hl=en-GB",,,130017082
52,2015-01-17,Olympiakino,61,31,olympiakino-hirschberg-leutershausen,Hölderlinstraße 2,69493,Hirschberg-Leutershausen,8.658778,49.499443,06201 5091 95,http://www.olympia-leutershausen.de,http://www.olympia-leutershausen.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Olympia+Kino/@49.4994431,8.6587782,17z/data=!3m1!4b1!4m5!3m4!1s0x4797c4f2a3df4eef:0x7d6327a458f72a20!8m2!3d49.4994431!4d8.6609669?hl=en-GB",,,123323317
53,2015-01-18,Karlstorkino,28,29,karlstorkino-heidelberg,Am Karlstor 1,69117,Heidelberg,8.717068,49.414804,06221 978920,http://www.karlstorkino.de,http://www.karlstorkino.de,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.com/maps/place/Karlstorkino+-+Media+Forum+Heidelberg+e.V./@49.4148042,8.717068,17z/data=!3m1!4b1!4m5!3m4!1s0x4797c1a63bc7b45f:0x70c49e810c358f6b!8m2!3d49.4148042!4d8.7192567?hl=en-GB",,,105220220
54,2015-01-21,sweetSixteen,67,13,sweetsixteen-dortmund,Immermannstraße 29,44147,Dortmund,7.450668,51.533209,0231 9106623,http://sweetsixteen-kino.de/,http://sweetsixteen-kino.de/,Hier kommt ein Karton. Hier kommt ein Karton. Hier kommt ein Karton.,"https://www.google.de/maps/place/sweetSixteen/@51.533209,7.4506683,17z/data=!3m1!4b1!4m5!3m4!1s0x47b91a1dc5920acf:0xfee304227cae4615!8m2!3d51.533209!4d7.452857",https://vimeo.com/232455770,,99451997
